start,end,N,SS,bsfs,TajD,FerL,ZngE,FulD,FayH,btree,Colless,Omega,path
0,100001.0,50,364,-2.536573849115253,-0.5248104680687741,-1.2107321638961952,0.7903612604979777,1.304812749094523,-0.1805176460684301,-0.5474012158327168,0.1424076773566569,-0.3281516042810505,3060037
0,100001.0,50,339,-3.162985940325112,-0.8780296768871972,-2.283791590705998,1.5485998450995913,-0.8004254271547021,-0.3330828280954007,-1.398630444550305,0.1812759826152683,-0.915246394141478,3060038
0,100001.0,50,338,-2.713704489193562,-0.7903358321775681,-0.5675251642954199,0.0900796633280756,1.0447020462902794,-0.1227963689978772,-1.692171778838834,0.2045883421861895,-0.8532038544195539,3060039
0,100001.0,50,389,-3.3722298593796074,-0.9179668513545464,-1.091521563098823,0.4829466915720846,0.9339260108247106,-0.1936545971354965,-1.6716263892609184,0.2046485260770975,-0.9486209218611228,3060040
0,100001.0,50,382,-2.0190322452070393,-0.89020464686795,-0.7258407356587306,0.1768408652256013,-0.1900233934731431,-0.148358910732753,-1.4711664206095525,0.1901133786848072,-0.7522580084999498,3060041
0,100001.0,50,365,-3.426176562212252,-0.8665571791856798,-1.5419450395095715,0.9043801255953444,0.2787071028801845,-0.2437437366802943,-1.2074139853945602,0.1610802548867648,-1.035288318797788,3060042
0,100001.0,50,404,-1.6147213473146431,-0.5458177867445198,-0.8441096484737104,0.4580950320586264,0.5940077776663529,-0.1382222783239127,-1.0288199327391323,0.1686149143201584,-0.1969668815929722,3060043
0,100001.0,50,370,-1.9569401221934184,-0.5963415200273884,-1.2602597325452232,0.7968616436774287,0.7904846412733527,-0.1913523511137585,-1.3318766243397049,0.1843577667753491,-0.8079228008561514,3060044
0,100001.0,50,445,-4.314074775736925,-0.8470072881445615,-2.5329144117326425,1.7828993366112509,0.2361834509238481,-0.3590353042078708,-1.4444457929027386,0.1889203483591238,-0.9243675898667504,3060045
0,100001.0,50,364,-2.089523559749876,-0.4653750086898274,-1.5282286664361209,1.099235033287907,0.3698076860002615,-0.214080529065732,-1.2474529571605213,0.1708996785527398,-0.760483078615636,3060046
0,100001.0,50,349,-0.7577546898399907,-0.0576924238435388,-1.2673818792843592,1.080770290425484,0.0182580107600428,-0.1547120216975187,-1.196799653733073,0.1755410217778386,-0.6898688119208409,3060047
0,100001.0,50,311,-2.3673963929101323,-0.6213421554518185,-0.4800594347396862,0.1007720889266018,1.41985330530291,-0.1007000038652955,-1.00376021485205,0.1654959085083308,-0.7276778951794709,3060048
0,100001.0,50,360,-3.8635663341672553,-0.6638653894240667,-1.0857743821476915,0.6091759014664763,1.807858837634163,-0.1754235719544965,-0.6180145851814307,0.1419390219856058,-0.1687673744167791,3060049
0,100001.0,50,348,-4.761414491522194,-1.2562561081658028,-1.2848444042863545,0.4783717750818664,2.1106415939297967,-0.2406125826125763,-2.7862142868707385,0.2206210298689012,-1.3575458682020496,3060050
0,100001.0,50,275,-2.2960427477646697,-0.5995653173583263,-0.9880340316035748,0.5571803449224365,0.7987727657307291,-0.1600823136982537,-1.1325531602739392,0.1676232993197279,-0.7843706247682797,3060051
0,100001.0,50,356,-3.170348941539853,-0.77643933083932,-0.8907554665833582,0.3802758270122647,0.9506680711136282,-0.1601480925046103,-1.4202627096671492,0.1743085392051557,-0.4106591850632304,3060052
0,100001.0,50,354,-1.2163459857058558,-0.4410113635056106,-0.2550708521562744,-0.0038227467745647,0.7656156444254486,-0.0611526647385873,-0.9107070315552036,0.1688765622528081,-0.6420576615841509,3060053
0,100001.0,50,427,-2.3063840003379323,-0.7138946452340834,-0.972720547280783,0.4839369140878689,0.9052194579494024,-0.1650919613411285,-1.3522314073336812,0.1728058275333254,-1.197953960931027,3060054
0,100001.0,50,369,-2.220062852116103,-0.5038455984422299,-0.80641376054868,0.4468435999789379,1.2025794158935863,-0.1309929608148566,-1.482291020254211,0.1956546091490488,-0.9327434584134618,3060055
0,100001.0,50,296,-3.53651142372977,-0.7563325353932504,-1.0508693256581578,0.5314503719678437,1.7075020277616215,-0.1783269512113836,-1.0311607508552283,0.1678133374561946,-0.6990836770322761,3060056
0,100001.0,50,292,-5.157415657887586,-1.6707232869974549,-1.6606432663063118,0.5954197604180882,2.382737087221331,-0.3151826212957807,-3.0124705286689384,0.2958101422387136,-1.8486935419376955,3060057
0,100001.0,50,351,-5.3305121037549155,-1.625946518360702,-1.2846003913135158,0.2875680381212859,3.7083679686539943,-0.2664032179768993,-2.506672002715975,0.2290816326530612,-1.1981377295197395,3060058
0,100001.0,50,331,-5.447512151710578,-1.789212648437531,-2.1249688651505516,0.9401883883561244,2.699731197328384,-0.3780690017378211,-2.8136949136919616,0.2667709019091507,-1.6484399182453209,3060059
0,100001.0,50,417,-4.075737739642964,-1.1064716465511888,-1.202373381663118,0.4825506886172109,0.7571161291467222,-0.2197762965871148,-1.1464786159735594,0.1644526713124274,-0.6409427433285169,3060060
0,100001.0,50,358,-4.709011939542277,-1.2443121152111374,-1.240299218891142,0.4453469700912487,1.6296141571400935,-0.2343825642447837,-2.308753397333793,0.259382664630478,-1.6539255729452216,3060061
0,100001.0,50,347,-1.3699728959868744,-0.5240391124821604,-0.4861661839296559,0.1559224803113568,0.0799416698384315,-0.0944532402383449,-1.190254591404199,0.1856904347104695,-0.6114442120582585,3060062
0,100001.0,50,325,-2.0188929934767295,-0.7456272177862004,-0.6046573948355084,0.1457894778265222,1.035639815834602,-0.1241606378307102,-1.0712470600313084,0.1639627073851123,-0.8557936653833121,3060063
0,100001.0,50,337,-2.3545070130667907,-0.7205750287967414,-1.4966668669636705,0.9400853949048537,-0.2590136197662476,-0.2284602987441449,-1.0857968058789218,0.1779352962559069,-0.3688197707154499,3060064
0,100001.0,50,383,-4.540027184727849,-1.2172891362757363,-0.8427704562528094,0.1105477373231469,1.9662278205567592,-0.1850872853401469,-1.1773471486936684,0.1668832129124942,-0.746142204047086,3060065
0,100001.0,50,380,-2.966372580790503,-0.8524868808843171,-0.734401865158741,0.2038231329740943,1.1117197304677808,-0.1467498636777323,-1.3391496251816155,0.1843033509700176,-0.5484307463082545,3060066
0,100001.0,50,409,-0.0952565843362149,-0.0060460201945677,-0.3462584942478328,0.3003916739998933,1.2707027395876112,-0.0414752251089003,-1.114100081589375,0.1672919167667066,-0.4662948420757597,3060067
0,100001.0,50,368,-1.768934840224453,-0.521872737867011,-1.2848182221661646,0.8567933069771062,0.0485690834952533,-0.1890803369816888,-1.0289230683003254,0.1667881438289601,-0.9318192323187604,3060068
0,100001.0,50,452,-2.437731277586273,-0.7696005154033168,-0.566799262186437,0.0991445307666825,1.5584013015488216,-0.1208088257042214,-1.7159862944267052,0.206161177342224,-0.9595954232652266,3060069
0,100001.0,50,305,-3.488676837493439,-0.7034853136768658,-0.6063407121517765,0.1691884058135206,1.6575181658855542,-0.1215372335544507,-1.077969210373963,0.1582593907128068,-0.4797642593141946,3060070
0,100001.0,50,389,-2.595390227772746,-0.5444505305697583,-0.812146812361891,0.4308423179795538,1.048096557184529,-0.1344078376263,-1.292277230945351,0.1786871211069461,-0.7488083834597375,3060071
0,100001.0,50,285,-1.426560521162149,-0.5647845943965811,-0.3216671807009132,-0.0085672843793303,0.6039961052756083,-0.0779748509624598,-1.142575112137167,0.1666904524047381,-0.6013717594486648,3060072
